config_name,retriever_type,k,prompt_type,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore_F1,Avg_FK_Grade
FAISS_k1_plain,FAISS,1,plain,0.27144383163819275,0.09801015129937243,0.21120932506932355,0.8660893440246582,15.54161441581464
FAISS_k1_cite,FAISS,1,cite_source,0.2747842068684964,0.09968863910978129,0.21123779990826053,0.8665927648544312,15.735060873894
FAISS_k3_plain,FAISS,3,plain,0.24732209439442313,0.0850273579640307,0.19534533513708704,0.863679826259613,15.673899952855129
FAISS_k3_cite,FAISS,3,cite_source,0.24761115900467234,0.08362534457279551,0.19508776094904307,0.8637160062789917,15.972781728884057
FAISS_k5_plain,FAISS,5,plain,0.23051962546478721,0.07732581035817124,0.18165427551990124,0.8592010736465454,15.43548194474775
FAISS_k5_cite,FAISS,5,cite_source,0.22112426880360941,0.07455052615455102,0.172773392532162,0.8573200106620789,15.464487484693652
