config_name,retriever_type,k,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore_F1,Avg_FK_Grade
FAISS_k1,FAISS,1,0.27538536400868874,0.12054802522838437,0.22222159673202385,0.8686407208442688,14.802044140446705
FAISS_k3,FAISS,3,0.3052138367998269,0.13163396916395187,0.24226732045855517,0.8757795691490173,16.116250035135092
FAISS_k5,FAISS,5,0.2856346254938379,0.12162484301344464,0.22513552160833292,0.872206449508667,16.124873545627633
FAISS_k7,FAISS,7,0.28084118676696085,0.12217770074435506,0.22391240327413583,0.8710561990737915,15.906746762913272
FAISS_k10,FAISS,10,0.2810011867669609,0.12242770074435506,0.22415240327413583,0.8710804581642151,15.911466762913271
